Counter,Date/time,Latitude,Longitude,Sunlight
1,2022-05-13 14:13:36.645339,-20.44260151582868,-99.76263419616271,1
2,2022-05-13 14:13:55.011194,-21.333264435055817,-98.9985257032329,1
3,2022-05-13 14:14:13.377722,-22.219533539868348,-98.22430393027493,1
4,2022-05-13 14:14:31.744242,-23.101147538733724,-97.43943554718967,1
5,2022-05-13 14:14:50.106867,-23.977643360898078,-96.64355219534833,1
6,2022-05-13 14:15:08.481631,-24.849517019688463,-95.83538111652038,1
7,2022-05-13 14:15:26.863293,-25.716240051239296,-95.01454580319609,1
8,2022-05-13 14:15:45.249528,-26.577415903114236,-94.18053445824549,1
9,2022-05-13 14:16:03.632550,-27.432362701893513,-93.33310417292611,1
10,2022-05-13 14:16:22.014159,-28.280869397037208,-92.47153849362944,1
11,2022-05-13 14:16:40.390391,-29.12241465650122,-91.5954124086407,1
12,2022-05-13 14:16:58.769213,-29.957034140179132,-90.70369338415459,1
13,2022-05-13 14:17:17.149384,-30.78432171273667,-89.7957705378926,1
14,2022-05-13 14:17:35.533025,-31.604003179997388,-88.87085925446624,1
15,2022-05-13 14:17:53.914604,-32.41544819444703,-87.92855256675031,1
16,2022-05-13 14:18:12.295879,-33.21833663611437,-86.96807155764876,1
17,2022-05-13 14:18:30.677795,-34.012306396552674,-85.9886501164087,1
18,2022-05-13 14:18:49.060463,-34.796925982956594,-84.9895746415478,1
19,2022-05-13 14:19:07.444037,-35.57175173325861,-83.97011870100307,1
20,2022-05-13 14:19:25.820914,-36.33601045402675,-82.92998264847857,1
21,2022-05-13 14:19:44.187971,-37.08909250312628,-81.86866571318623,1
22,2022-05-13 14:20:02.550539,-37.830730232513126,-80.78516474251074,1
23,2022-05-13 14:20:20.915296,-38.56066827799127,-79.67838884181253,1
24,2022-05-13 14:20:39.281046,-39.27832584107021,-78.54768735337137,1
25,2022-05-13 14:20:57.640340,-39.98285183819374,-77.39285114838013,1
26,2022-05-13 14:21:16.002691,-40.67402922968497,-76.21263115874254,1
27,2022-05-13 14:21:34.359884,-41.35095370781833,-75.00691462337495,1
28,2022-05-13 14:21:52.717368,-42.01320971695263,-73.77474885246218,1
29,2022-05-13 14:22:11.079045,-42.66029473746618,-72.51528829345493,1
30,2022-05-13 14:22:29.442187,-43.291438319340934,-71.2281998363087,1
31,2022-05-13 14:22:47.801238,-43.905774932395296,-69.91341282867096,1
32,2022-05-13 14:23:06.163177,-44.50284484767384,-68.57002709208611,1
33,2022-05-13 14:23:24.532924,-45.082076133068306,-67.19734062686678,1
34,2022-05-13 14:23:42.913175,-45.642803010906306,-65.79485609790093,1
35,2022-05-13 14:24:01.296504,-46.184015052384446,-64.36301884731014,1
36,2022-05-13 14:24:19.668036,-46.704615231106374,-62.902752419915295,1
37,2022-05-13 14:24:38.026212,-47.20375786898382,-61.41455184774423,1
38,2022-05-13 14:24:56.378204,-47.68094260900089,-59.8980007343904,1
39,2022-05-13 14:25:14.733969,-48.13568116361679,-58.35259241782184,1
40,2022-05-13 14:25:33.090388,-48.56712685249182,-56.77907930103688,1
41,2022-05-13 14:25:51.442980,-48.974431616928214,-55.17849715274648,1
42,2022-05-13 14:26:09.802420,-49.35710032247402,-53.55067349773377,1
43,2022-05-13 14:26:28.167789,-49.714363222079044,-51.896662031001924,1
44,2022-05-13 14:26:46.538098,-50.04549103152509,-50.217638719703956,1
45,2022-05-13 14:27:04.911626,-50.34976964352502,-48.515056491417106,1
46,2022-05-13 14:27:23.276812,-50.626388067190035,-46.791481985107644,1
47,2022-05-13 14:27:41.638460,-50.87485255472628,-45.04816043869042,1
